tip_height,round_height,host,window,mean_spacing_s,tblock_s,phi_s,phi_bound_s,log_timestamp,n_occurrences,source_file,source_line
199,200,m2,12,3.417,3.000,-0.417,1.500,2000-01-01 00:10:56,3,run/data/m2/debug.log,8586
199,200,m3,12,3.417,3.000,-0.417,1.500,2000-01-01 00:10:56,3,run/data/m3/debug.log,7158
200,201,admin,12,3.417,3.000,-0.417,1.500,2000-01-01 00:11:01,2,run/data/admin/debug.log,2101
200,201,m1,12,3.417,3.000,-0.417,1.500,2000-01-01 00:10:57,3,run/data/m1/debug.log,15812
200,201,m2,12,3.417,3.000,-0.417,1.500,2000-01-01 00:10:58,3,run/data/m2/debug.log,8601
200,201,m3,12,3.417,3.000,-0.417,1.500,2000-01-01 00:10:58,3,run/data/m3/debug.log,7173
201,202,admin,12,3.333,3.000,-0.333,1.500,2000-01-01 00:11:03,2,run/data/admin/debug.log,2115
201,202,m1,12,3.333,3.000,-0.333,1.500,2000-01-01 00:11:00,3,run/data/m1/debug.log,15905
201,202,m2,12,3.333,3.000,-0.333,1.500,2000-01-01 00:11:02,3,run/data/m2/debug.log,8616
201,202,m3,12,3.333,3.000,-0.333,1.500,2000-01-01 00:11:01,3,run/data/m3/debug.log,7188
202,203,admin,12,3.333,3.000,-0.333,1.500,2000-01-01 00:11:07,5,run/data/admin/debug.log,2129
202,203,m1,12,3.333,3.000,-0.333,1.500,2000-01-01 00:11:03,6,run/data/m1/debug.log,16150
202,203,m2,12,3.333,3.000,-0.333,1.500,2000-01-01 00:11:04,6,run/data/m2/debug.log,8631
202,203,m3,12,3.333,3.000,-0.333,1.500,2000-01-01 00:11:04,6,run/data/m3/debug.log,7203
203,204,admin,12,3.333,3.000,-0.333,1.500,2000-01-01 00:11:09,2,run/data/admin/debug.log,2159
203,204,m1,12,3.333,3.000,-0.333,1.500,2000-01-01 00:11:07,3,run/data/m1/debug.log,16188
203,204,m2,12,3.333,3.000,-0.333,1.500,2000-01-01 00:11:07,3,run/data/m2/debug.log,8658
