sample_height,host,balance_gas
175,m3,21.274
175,ca,49.3572
178,c1,89.0334
178,c2,92.6216
178,c3,94.4134
178,c4,95.5318
178,c5,96.3692
178,m1,108.9687
178,m2,45.5013
178,m3,21.274
178,ca,49.3572
182,c1,88.865
182,c2,92.5092
182,c3,94.3574
182,c4,95.42
182,c5,96.3132
182,m1,7.7836
182,m2,19.49
182,m3,17.374
182,ca,49.3572
184,c1,88.6404
184,c2,92.3408
184,c3,94.2452
184,c4,95.364
184,c5,96.2572
184,m1,108.199
184,m2,119.6582
184,m3,117.374
184,ca,49.3572
187,c1,88.4158
187,c2,92.2284
187,c3,94.1328
187,c4,95.252
187,c5,96.1454
187,m1,108.7602
187,m2,119.8462
187,m3,117.2984
187,ca,49.3572
190,c1,88.1914
190,c2,92.0602
190,c3,94.0206
190,c4,95.196
190,c5,96.0896
190,m1,109.0406
190,m2,120.0706
190,m3,117.2984
190,ca,49.3572
193,c1,88.0228
193,c2,91.948
193,c3,93.9082
193,c4,95.084
193,c5,96.0336
193,m1,7.3771
193,m2,49.183
193,m3,117.2984
193,ca,49.3572
195,c1,87.7984
195,c2,91.7796
195,c3,93.796
195,c4,95.028
195,c5,95.9776
195,m1,108.2427
195,m2,49.183
195,m3,94.1935
195,ca,49.3572
197,c1,87.5738
197,c2,91.6672
197,c3,93.6836
197,c4,94.916
197,c5,95.9218
197,m1,108.3877
197,m2,49.3576
197,m3,94.3621
197,ca,49.3572
200,c1,87.349
200,c2,91.499
200,c3,93.5712
200,c4,94.8602
200,c5,95.81
200,m1,109.0771
200,m2,49.3576
200,m3,94.3621
200,ca,49.3572
204,c1,87.1806
204,c2,91.3866
204,c3,93.4588
204,c4,94.7486
204,c5,95.754
204,m1,109.6941
204,m2,49.5262
204,m3,94.3621
204,ca,49.3572
206,c1,86.9558
206,c2,91.218
206,c3,93.4026
206,c4,94.6926
206,c5,95.698
206,m1,7.6437
206,m2,21.1893
206,m3,75.8445
206,ca,49.3572
209,c1,86.7312
209,c2,91.1056
209,c3,93.2904
209,c4,94.5806
209,c5,95.642
209,m1,108.2007
209,m2,21.1957
209,m3,75.7691
209,ca,49.3572
212,c1,86.5066
212,c2,90.937
212,c3,93.178
212,c4,94.5246
212,c5,95.586
212,m1,109.2171
212,m2,21.1957
212,m3,75.7691
212,ca,49.3572
215,c1,86.282
215,c2,90.8248
215,c3,93.0656
215,c4,94.4128
215,c5,95.474
215,m1,109.7783
215,m2,21.1957
215,m3,75.7691
215,ca,49.3572
218,c1,86.1136
218,c2,90.6562
218,c3,92.9534
218,c4,94.3568
218,c5,95.418
218,m1,7.0007
218,m2,10.6899
218,m3,60.8523
218,ca,49.3572
221,c1,85.8888
221,c2,90.544
221,c3,92.841
221,c4,94.2446
221,c5,95.362
221,m1,107.2607
221,m2,110.8429
221,m3,60.7471
221,ca,49.3572
223,c1,85.6642
223,c2,90.3754
223,c3,92.7288
223,c4,94.1884
223,c5,95.3062
223,m1,107.7729
223,m2,111.4041
223,m3,60.7471
223,ca,49.3572
226,c1,85.4394
226,c2,90.2634
226,c3,92.6166
226,c4,94.0762
226,c5,95.2502
226,m1,107.7729
226,m2,111.5725
226,m3,60.9715
226,ca,49.3572
229,c1,85.271
229,c2,90.095
229,c3,92.5604
229,c4,94.0202
229,c5,95.1382
229,m1,7.2223
229,m2,45.8512
229,m3,49.132
229,ca,49.3572
232,c1,85.0464
232,c2,89.9826
232,c3,92.448
232,c4,93.908
232,c5,95.0822
232,m1,107.3347
232,m2,46.7408
232,m3,49.132
232,ca,49.3572
235,c1,84.8218
235,c2,89.8142
235,c3,92.3356
235,c4,93.8518
235,c5,95.0262
235,m1,108.3581
235,m2,46.6348
